worker_id,date,shift_type
W10,2027-01-01,morning
W11,2027-01-01,night
W13,2027-01-01,night
W01,2027-01-02,afternoon
W02,2027-01-02,afternoon
W08,2027-01-02,afternoon
W04,2027-01-02,morning
W06,2027-01-02,morning
W03,2027-01-02,night
W09,2027-01-02,night
W07,2027-01-03,afternoon
W08,2027-01-03,afternoon
W04,2027-01-03,morning
W05,2027-01-03,morning
W06,2027-01-03,morning
W10,2027-01-03,morning
W12,2027-01-03,morning
W01,2027-01-03,night
W02,2027-01-03,night
W07,2027-01-04,afternoon
W11,2027-01-04,afternoon
W04,2027-01-04,morning
W05,2027-01-04,morning
W06,2027-01-04,morning
W12,2027-01-04,morning
W08,2027-01-04,night
W10,2027-01-04,night
W04,2027-01-05,afternoon
W06,2027-01-05,afternoon
W05,2027-01-05,morning
W12,2027-01-05,morning
W03,2027-01-05,night
W09,2027-01-05,night
W11,2027-01-05,night
W13,2027-01-05,night
W04,2027-01-06,afternoon
W05,2027-01-06,afternoon
W06,2027-01-06,afternoon
W01,2027-01-06,morning
W07,2027-01-06,morning
W02,2027-01-06,night
W12,2027-01-06,night
